ind,alpha_g,qg,pg
1,-9.516393869675174e-10,-1.2499106144153562e-9,-9.976412236387647e-9
10,-8.766190336934959e-10,-1.0805094056572311e-9,-9.976351870255865e-9
100,-2.5447540035882164e-9,-2.226132337952376e-9,-9.984005005344758e-9
101,-2.633810127229864e-9,-2.3991578300675627e-9,-9.984010336462666e-9
102,-2.5979890951406474e-9,-2.2245092636040733e-9,-9.984003599599138e-9
103,-2.4513232178790316e-9,-1.7096998804852592e-9,-9.976712500928303e-9
104,-2.5215430973625823e-9,-1.7151419545906753e-9,-9.976707653778208e-9
105,-7.359970194945401e-9,-2.0560234810787116e-9,-9.976713650247014e-9
106,-7.3666517286221264e-9,-2.0543117640536653e-9,-9.976712369980962e-9
107,-7.419251225955825e-9,-2.045468563109752e-9,-9.976701580445687e-9
108,-3.0186522904945078e-9,-2.685295603005466e-9,-9.976701945398345e-9
109,-6.0437685127223894e-9,-2.3368662808383537e-9,-9.976758389184363e-9
11,-8.716981026020011e-10,-1.0305440667253063e-9,-9.976338958458371e-9
110,-6.1176827470745545e-9,-2.3264117034888114e-9,-9.976753986441165e-9
111,-1.641744723623764e-9,-1.9680036698268718e-9,-9.976701966655516e-9
112,-1.6371375707341734e-9,-1.9024091665070517e-9,-9.976709365742322e-9
113,-1.308014611056869e-9,-1.6258375950203732e-9,-9.983948457995369e-9
114,1.0000000084673817,0.001988292912820007,0.16201176472375514
115,1.0000000084673817,0.0017945264204658768,0.16749069099715636
116,1.0000000084673817,-0.046508479381905,0.09769452244708172
117,1.0000000084673817,-0.04827418449582559,0.09107829938034748
118,1.0000000084673817,-0.04607770668722132,0.09661113029087912
119,1.0000000084673817,-0.04862070054854127,0.09982435990306004
12,1.0000000086084242,-0.18577250425628802,1.0010291354806748
120,1.0000000084673408,-0.005065887947013856,0.004382812881245022
121,-6.120657102059988e-9,-8.009048113316425e-10,-9.976768954533129e-9
122,-8.123373672623342e-9,4.761930485231912e-10,-9.976515207902066e-9
123,-6.73968592379633e-9,-1.1125547004435656e-9,-9.976836592458877e-9
124,-8.545312173450752e-9,2.4076812649374257e-9,-9.975352386192317e-9
125,-5.792172352002533e-9,-2.376061245465891e-9,-9.976770431761342e-9
126,-5.699311342824303e-9,-2.8118693992740844e-9,-9.976780230970286e-9
127,-5.755047260162381e-9,-2.38215506135828e-9,-9.97677189493417e-9
128,-2.628794231526296e-9,-2.479265073720067e-9,-9.976715075703438e-9
129,-2.5747805983560425e-9,-2.4781878263385894e-9,-9.97671719216746e-9
13,1.0000000086077339,-0.19629510139494757,0.9953200724855598
130,-2.53998518990355e-9,-1.4617503847319155e-9,-9.976705800125206e-9
131,-2.169884617777447e-9,-2.488361420282262e-9,-9.976727330069704e-9
132,-1.5937564052071179e-9,-1.339127823064073e-9,-9.983988017655535e-9
133,-1.5921493365398815e-9,-1.2377002617051663e-9,-9.983980681320319e-9
134,1.0000000084673817,-0.022614709258886485,0.04315081892306471
135,1.0000000084673817,-0.0226829940933142,0.12307153400223167
136,1.0000000084676224,-0.019560556567309782,0.037142676963700626
137,-8.560208860372434e-9,-1.19040866405566e-9,-9.983471949562934e-9
138,-8.559132021659287e-9,-1.1875111284402701e-9,-9.98349244457497e-9
139,-8.55981883642131e-9,-1.1694370297627835e-9,-9.983477616481202e-9
14,1.0000000084673817,-0.022493392477473298,0.43043487920092033
140,-8.559218378041456e-9,-1.1588981451288583e-9,-9.983488146935845e-9
141,-8.555529762650825e-9,-5.813688149880664e-10,-9.983468363564255e-9
142,-8.555159151836743e-9,-5.673286352176464e-10,-9.983473397232328e-9
143,-8.556343712928721e-9,-5.552400209990982e-10,-9.9834494064166e-9
144,-8.556585442551792e-9,-5.508439186128716e-10,-9.983443952920393e-9
145,1.000000008455207,0.014040445668567655,0.04497854229771256
146,-5.884789160054554e-9,-2.0893230074184365e-10,-9.984045542823785e-9
147,-5.940433152137515e-9,-2.1109922390284267e-10,-9.984042804114258e-9
148,-5.810610993302781e-9,-2.050583982739244e-10,-9.984048906490118e-9
149,-7.64238505065363e-9,-1.6290132856476324e-10,-9.984060920867834e-9
15,1.0000000085606735,-0.5900969703001334,0.42027967312534026
150,-7.684112899958058e-9,-1.8639796203636658e-10,-9.984057458529944e-9
151,-7.674482320268664e-9,-1.7329828709403026e-10,-9.984058173856342e-9
152,-4.932330543685475e-9,-1.3767829129709296e-9,-9.984076542262495e-9
153,-4.840390101926209e-9,-1.349736289620208e-9,-9.984077285723295e-9
154,-4.998293603614229e-9,-1.3984870968847335e-9,-9.984075970720405e-9
155,-7.116541448297946e-9,6.908990488985216e-10,-9.984058921358383e-9
156,-8.324340494724004e-9,1.890909905470448e-9,-9.983908390707376e-9
157,-8.376844239917673e-9,-6.279461521633486e-9,-9.983664425298695e-9
158,1.000000008467596,-0.03836553775831572,0.060116439943959585
159,1.0000000084673057,-0.021456462833317213,0.05038420903001791
16,1.0000000085608258,-0.5264515480100648,0.42131981528297585
160,1.000000008467382,0.04032131921943122,0.1267505367140436
161,1.0000000084673817,0.03907919377228527,0.15841560766697974
162,1.0000000084673817,0.03642470818523422,0.06691325916863772
163,-5.38823631490939e-9,-9.086847472788702e-10,4.961594997633956e-9
164,-4.428634745350151e-9,-6.365813350750612e-10,4.994187507994263e-9
165,1.0000000084673817,-0.020216736583739077,0.8109427150216091
166,1.0000000084970562,-0.005609633239373353,0.5956098694272869
167,1.0000000084984029,0.028808700756809656,1.2324446186198785
168,1.0000000084961695,0.0044836006953084505,0.3786830334827675
169,-8.315882830486596e-9,-1.8797223423998648e-10,-9.983773566328832e-9
17,1.0000000085592422,-0.5361585379185424,0.41067614003335146
170,-6.12782504651676e-9,-2.1786046531446708e-9,-9.98398721034443e-9
171,-8.166557296086647e-9,-1.6047747445698942e-9,-9.983872030251152e-9
