ind,alpha_g,qg,pg
172,1.0000000084672278,-0.01135319372017703,0.008214016546176404
173,1.0000000084673817,-0.04428850117044199,0.0790568766044544
174,1.0000000084673817,-0.041530050692227656,0.07787431840103809
175,1.0000000084673817,-0.02104565413425272,0.020395252480344846
176,1.0000000084673817,-0.021294449336394596,0.020985065558823242
177,1.0000000084673817,-0.02129085794294835,0.020519820365893646
178,1.0000000084721368,-0.03149608431302955,0.3774994067987927
179,1.0000000084673817,-0.010060209297395458,0.4431019462713073
18,1.0000000084673817,-0.5581168811951511,0.8088085709909084
180,1.0000000084673817,-0.09250257566763198,0.38304659439930855
181,1.0000000084673817,-0.08977930942739765,0.3526740471511091
182,1.0000000084673817,-0.10160660385535458,0.4017348593767901
183,1.00000000852505,0.03477542696754227,0.3376591135073273
184,1.0000000085292415,0.0402895439769783,0.36765344763884833
185,1.0000000084673817,-0.00431419529984894,0.613264253205929
186,1.0000000085014973,-0.016321554954042868,0.6836997405149914
187,1.0000000085003757,-0.02197986472591423,0.6663586069859362
188,1.0000000085004686,-0.01683676755440295,0.6728941574746417
189,1.0000000084673817,-0.03405018980268623,0.28796227464581226
19,1.0000000084673817,-0.6053118681638974,0.6981971360148186
190,1.000000008480959,-0.023532860827381857,0.6576243306116796
191,1.0000000084833496,-0.010169447351360748,0.36144725437411107
192,1.0000000084673817,-0.01791627914010773,0.2933909650827816
193,1.0000000084673817,-0.014623091794957629,0.3069684343319097
194,1.0000000084775782,-0.05452214821967605,0.1638669014517479
195,1.000000008467382,-0.01995666566768088,0.3070375142746683
196,1.000000008467382,-0.0170928165668388,0.31389315803322654
197,1.0000000086268266,-1.4999999869117884,0.4858597412149397
198,1.0000000084978615,0.0,0.3546887867814019
199,1.000000008494396,0.0,0.3201121591691145
2,-8.8871426883643e-10,-1.7917018982259171e-9,-9.976414021871449e-9
20,1.0000000084673817,-0.560887650552117,0.8372029261058068
200,1.000000008510369,-0.19999998750275308,0.22356996105053162
201,1.0000000084873342,-0.10339453407802213,0.4811785848206535
202,1.0000000087385403,-1.6999999955503038,0.8059300891941286
203,1.0000000090591457,-1.9999999523985368,4.020984785949629
204,1.0000000085616032,-0.549217558542292,1.2237482255810188
205,1.0000000085104008,-0.1999999037996457,0.40475393392733194
207,1.0000000085146916,-0.06653920013882947,0.2695949510899272
208,-8.197602888003139e-9,-6.0654522154425756e-9,4.731266987742887e-9
209,-8.331014966970577e-9,-6.8330717069441155e-9,4.721217869786581e-9
21,1.0000000084673817,-0.5400299213929978,0.7730274379001707
210,-7.549134101360883e-9,-6.1387727933802505e-9,4.778874874633074e-9
211,-8.1795499720535e-9,-5.4892499970603166e-9,6.65620746258613e-9
212,-5.853956398258497e-9,-7.422157521786195e-9,3.5424750250421544e-9
213,-6.6033356832931916e-9,-5.131983548669916e-9,5.677208250123828e-9
214,-7.3747352288261176e-9,8.809318217748191e-9,8.96349143282562e-9
215,1.6999850796601548e-6,-4.089455499224236e-6,2.2870671400732213e-7
216,-5.5865917041563414e-9,-3.2951514852726135e-9,6.541726205905795e-9
217,-5.288941712866984e-9,-3.818959316525222e-9,6.439876057265618e-9
218,-8.216866453976745e-9,-5.468960011753993e-9,3.2213900397737967e-9
219,-8.202239123776215e-9,-5.949113209980584e-9,6.338768660565116e-9
22,1.0000000084673817,-0.5240368770870478,0.7623429613118704
220,-8.139061617444796e-9,-6.446943084765204e-9,6.15659983861356e-9
221,-7.659829627146077e-9,8.769515479005262e-9,9.17294342823543e-9
223,1.0000000084673817,-0.27314653596535127,0.37669391481652303
224,1.0000000084673817,-0.34919506243691495,0.5640371203098021
225,1.000000008467382,-0.11455745951599544,0.09634097104011065
226,1.0000000084673817,-0.4522108296179762,0.10891589417367459
227,1.0000000084673817,-0.4285406644048784,0.6037877056561867
228,1.0000000084737877,-0.5387167448108333,0.09731130409592222
229,1.0000000085977787,-0.9224582168436724,0.7556755921418647
23,1.0000000084673817,-0.5444592207382366,0.8101995775461333
230,1.0000000086069987,-1.0999984616608671,0.7743675640235124
231,1.000000008522495,-0.8999999598192464,0.7721804627288475
232,1.000000008502188,-0.8999998974081379,0.7552570227309735
233,1.0000000085825658,0.9531299596441657,0.7554948442237363
234,1.0000000084673817,0.4979376405921925,0.370460811524319
235,1.0000000085874303,-0.5999995860333842,0.7715476801733191
236,1.0000000086282597,-0.8999999910021325,0.7635236513708032
237,1.0000000084675804,-0.04866785753889926,0.022131005037216846
238,1.00000000846683,-0.0014218515221708205,0.014385868574717818
239,1.0000000084669436,-0.0014928783925612851,0.012633027161684641
24,-9.82561612990862e-10,-1.8762935881601324e-9,-9.97643678551118e-9
240,1.0000000084673817,-0.028021861546489533,0.08318391801121398
241,1.0000000084662142,-0.006776509905412651,0.04944924838717155
242,1.0000000084673817,-0.08067105196995901,0.1949190008239751
243,1.000000008466016,-0.024061841510005736,0.05588071674945865
244,1.0000000084661513,-0.02330931119542702,0.050962435699561486
245,1.0000000084660197,-0.02532536985206573,0.055273463827290495
246,1.0000000084673817,0.0,0.03927865745948759
247,1.0000000084673817,-0.12336542577526052,1.1711090965858086
248,1.0000000084739937,0.1179596442389931,0.06256304737761763
249,1.0000000084669118,0.032826659945706695,0.04551969396564888
25,-1.6893140794359652e-9,-2.2699179520954004e-9,-9.983914380652829e-9
250,1.0000000084673817,-0.1162904862966327,0.012599518724129679
251,1.0000000084664926,0.0,0.02836292294159184
252,1.0000000084652763,0.0,0.052252110130124124
253,1.0000000084668292,0.0,0.03809907248368381
254,1.000000008467343,-0.040006975477571746,0.0054450787801808035
255,1.000000008494393,-0.6129015156503792,0.29215509084457214
256,1.0000000084950507,-0.6129015156506546,0.29983338320910236
257,1.0000000086011034,-0.600000004164746,0.2391369696307379
258,1.0000000086012022,-0.600000004164759,0.2407514503758263
259,1.0000000084676939,-0.17370821001751946,0.022293033705846777
26,1.0000000084673817,-0.02007370062289256,0.023437011004784878
260,1.0000000084677785,-0.14699434988090082,0.02269158877217533
261,1.000000008467325,-0.045671500849977925,0.0021564013768352653
262,1.000000008467176,-0.06261989303560968,0.006482336216923105
263,1.0000000084649165,-0.08015257846198881,0.009584552661524325
265,0.263008529872487,-2.396811442711819,0.9773444041019962
267,1.0000000085743452,-0.9550671286688851,0.8027611110941967
268,2.5479308333191624e-9,-5.7311762861651025e-9,5.418441544667091e-9
27,1.0000000084673748,-0.019287409439482536,0.023274422523256167
270,1.0000000084673817,-4.16946489964137,2.2931495176944714
271,4.462197023493021e-9,-9.130152716786545e-16,1.2200341544480792e-8
272,1.0000000085041316,-0.4160951415784266,0.7830343622783188
273,1.0000000085055551,-0.5841281371069837,0.18525726261701003
274,1.0000000084673817,-0.29664163248898645,5.392601695569516
275,1.8526913605843071e-9,-1.6327406163476698e-17,0.0
276,1.000000008467382,-0.3108288830044228,9.949246500051391
277,1.000000008467382,-0.12444615607453537,5.651923089620441
278,0.0877170871862476,-0.7932706008609065,4.703398639868081
279,1.0000000084868275,-9.830246995585151,1.703093821583057
28,1.0000000084673817,-0.04470103325673957,0.2299628184062189
281,2.101096043338522e-8,-2.1632736679452223e-7,1.593501049214614e-8
282,3.202085317689096e-8,-3.035953215567149e-7,2.73989398149473e-7
285,1.0000000084112113,-6.71777227486015,1.9113785658807767
287,-7.622568419679255e-9,-1.8469991263997795e-10,5.4109071037593355e-9
288,7.1184293669604244e-9,-4.5654005757790864e-8,2.8406335417504168e-8
289,-5.135713613885122e-9,-2.242708193557572e-10,0.0
29,1.000000008504563,-0.1307414725516794,0.29600266449246576
290,1.1047959312445488e-7,-1.0656675776504568e-6,1.7222203606271222e-7
291,1.672122736072871e-7,-1.6419388259221923e-6,2.1461265306048872e-7
292,1.0000000084490859,-0.39710013863672683,0.34516864326960567
295,1.000000008459969,-0.574734076882922,0.13191066818169117
299,1.0000000085382745,0.3365686672814876,0.23255206617018767
3,-8.705592533339627e-10,-1.2266969231164475e-9,-9.976382111401936e-9
30,-5.646951877891591e-9,-5.015030650049788e-9,-9.984044329335894e-9
301,3.547968973858835e-8,-2.794234861045126e-7,1.82095687674159e-8
303,1.0000000085207557,0.014502169255255852,0.741243590413458
304,1.0000000090944319,-2.9321639503883983,3.0071511100344677
306,1.0000000094007613,-10.000000094166419,6.138317229056042
308,1.00000000948132,-10.000000094046642,10.826328416680061
309,1.4526843698558927e-8,-1.514643616251094e-7,2.4497970649816267e-8
31,-5.7119615532424515e-9,-4.989319455823373e-9,-9.984042575453638e-9
311,1.0000000094637396,-10.000000094004859,8.641503507275855
312,1.000000009075939,-2.50000002077388,3.288130027449808
313,2.9588620476105063e-8,-3.021302539977063e-7,1.9895412214502153e-8
314,1.0000000094013228,-9.85007989967476,7.681978578211163
315,3.5866926977913456e-8,-2.934191013066828e-7,1.9017282677307365e-8
316,1.0000000086066894,-0.7514469496371484,0.9836571714303176
318,1.0000000097315178,-7.382899568865928,29.262180084619533
319,1.0000000094605068,-7.366250939681027,12.371304521485712
32,-5.672516069595124e-9,-5.003957937540886e-9,-9.98404369426975e-9
320,1.0000000084673817,-7.1056142269705145,19.449680624801488
321,1.0000000084673817,-7.156605014559339,1.9564902844251835
322,1.0000000084673817,-4.880479282438565,6.570772557134915
323,-2.796089135536491e-9,-1.0527291906286935e-17,3.165013193712881e-9
327,1.186875234359266e-9,-2.9310318129232513e-9,3.725006598420426e-9
328,0.03474197646203917,4.241975040793421e-8,2.0795672946119717
329,2.701320990131308e-9,1.0129951278600164e-8,6.180313820737303e-9
33,-5.646356482887723e-9,-5.017214906400974e-9,-9.984044270975042e-9
330,0.03748841277413904,-9.113169708363803e-8,0.9441344203517158
331,8.560904931980479e-9,1.155721735884856e-7,5.605661681750642e-8
332,1.0000000084673817,0.0,0.5997621046488364
333,1.0000000084673817,0.0,0.44547625160348897
34,1.0000000084673817,-0.1497095996861256,0.374452576779661
35,1.0000000084673817,-0.13402445467207136,0.36009926560156263
36,1.0000000084673817,-0.06807221033469132,0.26641399519198744
37,1.0000000084673817,-0.05640812849058603,0.27947685370419173
38,1.0000000084673817,-0.05283491279839355,0.26482608325140033
39,-1.0141318113587795e-9,-1.960122039623355e-9,-9.976428542250156e-9
4,-8.866298346427494e-10,-1.8133437183742862e-9,-9.976395098883794e-9
40,-1.0188973025758498e-9,-1.968208547092793e-9,-9.976427358968586e-9
41,-8.559070586042818e-9,-2.6928282133867847e-10,-9.975773325509853e-9
42,-8.559843935313732e-9,-1.9903574868295885e-10,-9.97576558245614e-9
43,1.0000000084673817,-0.0865682312302252,0.43491204333908245
44,1.0000000084673817,-0.0727867286562383,0.4447159098866821
45,1.0000000084911569,0.10000000112267987,0.08500674043284293
46,1.0000000084889833,0.10000000012833284,0.12247220322684163
47,1.0000000084651524,5.202850570522957e-10,0.01169359850743927
48,1.0000000084673817,-0.4649299638944777,0.307107781317267
49,1.0000000085059568,-0.29999945228651637,0.7026522085915466
5,1.0000000084673817,-0.023349579845526897,0.1395021477383687
50,1.0000000085061749,-0.2999998553543293,0.7107956017014386
51,1.0000000084673817,-0.3118772043879733,0.9763384902087671
52,1.0000000084673817,-0.19423617532692153,0.5625490034307511
53,1.0000000084673817,-0.16524359803915903,0.5293036895483375
54,1.0000000084673817,-0.19489804055295293,0.5183544553999985
55,-8.002678169070566e-9,-4.039418176035401e-9,-9.990215048550297e-9
56,-7.946135362917838e-9,-4.109939659245451e-9,-9.990214432163228e-9
57,-7.99821274989891e-9,-4.041074750743591e-9,-9.990215854500889e-9
58,-6.16809294522931e-9,-4.954182932649484e-9,-9.990252266181859e-9
59,-6.160968496227962e-9,-4.956070934255706e-9,-9.990252346939097e-9
6,1.0000000084673817,-0.023914278120233362,0.137935645769399
60,-1.0417517914628784e-9,-4.933857138781609e-9,-9.990180118666843e-9
61,-1.0363496788172776e-9,-5.029064161627231e-9,-9.990192554633189e-9
62,-1.2157929373561813e-9,-5.775416776119257e-9,-9.990220726343371e-9
63,-1.3587933203284491e-9,-5.645027413477345e-9,-9.990218338049842e-9
64,-1.3650219307131197e-9,-5.640298529354274e-9,-9.990218160344477e-9
65,1.00000000847623,-0.09999997979261528,1.1562274849248504
66,1.000000008467382,-0.25755947794499084,0.6678613979882403
67,1.0000000084673817,-0.06026935944583618,0.329964889290245
68,1.0000000084805114,-0.19999997622186927,1.078698099397383
69,1.0000000084720804,-0.09999996100822958,0.5765480418236749
7,1.0000000084673817,-0.026464890144426902,0.15936819135207106
70,1.0000000084673817,-0.1370710029906583,0.4461481614889431
71,1.0000000084861693,-0.19999998699879817,0.2846290791362994
72,1.0000000084858556,-0.19999998657407808,0.2620626117042426
73,1.0000000085131522,-0.06382068056624049,1.0014866986647952
74,1.0000000087603764,-0.7000000036496342,2.0192368937482086
75,1.0000000087595027,-0.7000000036828148,2.0265689659399513
76,-8.280248840891022e-9,-6.866726972293922e-9,-9.990112161664554e-9
77,-1.1797309904807066e-9,-5.4489975493636365e-9,-9.990196924162418e-9
78,-8.397962029244714e-9,-3.0328217926654276e-9,-9.983684194297187e-9
79,-1.9155474397564034e-9,-4.874719206885467e-9,-9.983677879395411e-9
8,-8.430295704679839e-10,-1.0482421867248771e-9,-9.976347704266622e-9
80,-2.207085007157498e-9,-4.295951762438674e-9,-9.983674117348114e-9
81,-1.7448870381792992e-9,-4.270266762083247e-9,-9.983625667382483e-9
82,-1.7591293219629819e-9,-4.2533420240907915e-9,-9.983623218270945e-9
83,-8.47965504801915e-9,-5.2557874524265386e-9,-9.990087224110556e-9
84,-8.48125911797124e-9,-5.2554868665977366e-9,-9.990082137305257e-9
85,-8.468789456643443e-9,-5.257815664589303e-9,-9.990115171159776e-9
86,-8.443107459443352e-9,-5.2623055135433165e-9,-9.990155443260627e-9
87,1.0000000085143115,-0.014699780533994566,0.5648299151549927
88,1.0000000085102039,0.013769540433525294,0.7040108660825268
89,1.0000000085372045,-0.19999980433077835,0.5584957236046504
9,-8.646696962207827e-10,-1.017510097046477e-9,-9.97634474430025e-9
90,-6.2931073808408096e-9,9.193676702702351e-10,-9.976828085101439e-9
91,-8.473960190232599e-10,-3.1399977393274035e-9,-9.976517234770486e-9
92,1.000000008477571,-0.14826220117402075,0.47830968882861813
93,-3.758456993789452e-9,-1.1772471735537131e-9,-9.976704199728924e-9
94,-3.6844290009904627e-9,-9.802863224291562e-10,-9.976694096152726e-9
95,-3.2935724046343416e-9,7.36717812467054e-10,-9.976635752349757e-9
96,-3.274341303791171e-9,9.684895317900919e-10,-9.976634861274932e-9
97,-3.4081795437374524e-9,-2.6567428418533317e-10,-9.976645092452604e-9
98,-3.5104481886573767e-9,-4.662985347795892e-10,-9.976657270013102e-9
99,-2.5910271836855923e-9,-2.140015024543117e-9,-9.984009841713157e-9
