ind,pt,pf
1,-1.1784603337146569,1.1790347650967308
10,0.5281673998518136,-0.5275795070556688
11,0.2331952793095421,-0.23316089832991638
12,0.2331952793095421,-0.23316089832991638
2,-0.0023810743603942587,0.0023810888933826694
3,-0.0023810743603942587,0.0023810888933826694
4,-0.0023810743603942587,0.0023810888933826694
5,0.001984803688454303,-0.001984794904665194
6,5.130854944906775,-5.091017138712326
7,0.6551779108709428,-0.6549331271264086
8,0.6551779108709428,-0.6549331271264086
9,0.5281673998518136,-0.5275795070556688
