ind,vmfilt,qpr_fr,ppr_fr,qconv,iconv,pgrid,qtf_to,phi,vaconv,pconv,ptf_to,vmconv,vafilt,pdc,qgrid
1,0.999327180914057,0.26163851524876436,1.0133579481655293,0.24518614810672984,1.047293882412231,1.0143012172150057,-0.26163851524876436,1.57079633750286,0.8038282682176441,1.0128095359274618,-1.0133579481655293,0.9950072164669248,0.8189842117581239,-1.003627114862768,0.2945432495328396
10,1.0869211749498249,-4.888908596105564e-9,-3.3990063154308623,-4.888908596105564e-9,3.1271875033511694,-3.3990063154308623,4.888908596105564e-9,1.57079633750286,-0.1524425013470779,-3.3990063154308623,3.3990063154308623,1.0869211749498249,-0.1524425013470779,3.5065533614023536,-4.888908596105564e-9
11,1.1000000108093968,2.0531969196666178e-10,3.6315500918694337,2.0531969196666178e-10,3.3014091419847205,3.6315500918694337,-2.0531969196666178e-10,1.57079633750286,0.0,3.6315500918694337,-3.6315500918694337,1.1000000108093968,0.0,-3.51359326454816,2.0531969196666178e-10
12,1.1000000108093968,2.0531969196666178e-10,3.6315500918694337,2.0531969196666178e-10,3.3014091419847205,3.6315500918694337,-2.0531969196666178e-10,1.57079633750286,0.0,3.6315500918694337,-3.6315500918694337,1.1000000108093968,0.0,-3.51359326454816,2.0531969196666178e-10
13,1.1000000109477104,-0.011233084019940349,-0.8595014916780094,-0.011233084019940349,0.7814317129718834,-0.8595014916780094,0.011233084019940349,1.57079633750286,0.03361824325149289,-0.8595014916780094,0.8595014916780094,1.1000000109477104,0.03361824325149289,0.878612563491245,-0.011233084019940349
14,1.1000000109477104,-0.011233084019940349,-0.8595014916780094,-0.011233084019940349,0.7814317129718834,-0.8595014916780094,0.011233084019940349,1.57079633750286,0.03361824325149289,-0.8595014916780094,0.8595014916780094,1.1000000109477104,0.03361824325149289,0.878612563491245,-0.011233084019940349
15,1.0304252615591982,-1.2873155262980085e-25,0.901029374277655,-1.2873155262980085e-25,0.8744247718793825,0.901029374277655,1.2873155262980085e-25,1.57079633750286,0.0,0.901029374277655,-0.901029374277655,1.0304252615591982,0.0,-0.8802454741114094,-1.2873155262980085e-25
16,1.0304252615591982,-7.890093653208642e-26,0.901029374277655,-7.890093653208642e-26,0.8744247718793825,0.901029374277655,7.890093653208642e-26,1.57079633750286,0.0,0.901029374277655,-0.901029374277655,1.0304252615591982,0.0,-0.8802454741114094,-7.890093653208642e-26
17,1.0161754692405771,0.11785721499551087,-0.34642442568049303,0.11785721499551087,0.36009900022240443,-0.34642442568049303,-0.11785721499551087,1.57079633750286,0.8396695132447711,-0.34642442568049303,0.34642442568049303,1.0161754692405771,0.8396695132447711,0.3574723538974838,0.11785721499551087
18,1.0161754692405771,0.11785721499551087,-0.34642442568049303,0.11785721499551087,0.36009900022240443,-0.34642442568049303,-0.11785721499551087,1.57079633750286,0.8396695132447711,-0.34642442568049303,0.34642442568049303,1.0161754692405771,0.8396695132447711,0.3574723538974838,0.11785721499551087
19,1.0128272050158638,-0.022587984034898978,0.3686557514960545,-0.022587984034898978,0.3646694105121255,0.3686557514960545,0.022587984034898978,1.57079633750286,-0.0671503949158938,0.3686557514960545,-0.3686557514960545,1.0128272050158638,-0.0671503949158938,-0.3575531811380253,-0.022587984034898978
2,1.0164934336192768,-0.5289290666635506,-0.9932067384226763,-0.5473110846952944,1.107008522453088,-0.992152836055524,0.5289290666635506,1.57079633750286,-0.11269512124219262,-0.9938194723570674,0.9932067384226763,1.0248882943847488,-0.12674218120698302,1.0032108885311113,-0.4921650306000982
20,1.0128272050158638,-0.022587984034898978,0.3686557514960545,-0.022587984034898978,0.3646694105121255,0.3686557514960545,0.022587984034898978,1.57079633750286,-0.0671503949158938,0.3686557514960545,-0.3686557514960545,1.0128272050158638,-0.0671503949158938,-0.3575531811380253,-0.022587984034898978
3,1.095603538679809,-0.11979295348635198,0.12898931190989618,-0.12086691409953429,0.1606747052082517,0.1290507548488234,0.11979295348635198,1.57079633750286,-0.5841512627155049,0.12895342716825378,-0.12898931190989618,1.1000000109327155,-0.5795606116082063,-0.1264052115058056,-0.11764245062390492
4,1.074647602008418,-0.6506825328806144,-0.12172296419392656,-0.6664672846580115,0.615987945089035,-0.12081989426050839,0.6506825328806144,1.57079633750286,-0.5993577957860557,-0.12225038739033456,0.12172296419392656,1.1000000108503416,-0.6028762727628342,0.12639178621406014,-0.6190750852109808
5,1.0031045121277806,-0.06245653635293464,0.002193434153666505,-0.06258889524365495,0.06230162434759539,0.0022009642489153615,0.06245653635293464,1.57079633750286,0.8500848238270453,0.0021890480672586143,-0.002193434153666505,1.0052252281273322,0.8502289925912345,-0.0001454962919177582,-0.06219181857150473
6,0.9999826496168741,-0.04961978455752279,0.001889160887776598,-0.0497038675706791,0.049656595856148275,0.0018939444961499693,0.04961978455752279,1.57079633750286,0.8502333161900529,0.001886374559187834,-0.001889160887776598,1.0016725860865419,0.8503536078256475,0.0001454962391875058,-0.04945161853120307
7,1.100000010916534,-0.36500558457981397,-13.74028434465552,-0.36500558457981397,12.495574065993361,-13.74028434465552,0.36500558457981397,1.57079633750286,-0.19263628525118873,-13.74028434465552,13.74028434465552,1.100000010916534,-0.19263628525118873,14.173637358232892,-0.36500558457981397
8,1.1000000109466173,4.5221515888165095e-10,15.00000014997236,4.5221515888165095e-10,13.63636363700028,15.00000014997236,-4.5221515888165095e-10,1.57079633750286,0.0,15.00000014997236,-15.00000014997236,1.1000000109466173,0.0,-14.491425856540216,4.5221515888165095e-10
9,1.0869211749498249,-4.888908596105564e-9,-3.3990063154308623,-4.888908596105564e-9,3.1271875033511694,-3.3990063154308623,4.888908596105564e-9,1.57079633750286,-0.1524425013470779,-3.3990063154308623,3.3990063154308623,1.0869211749498249,-0.1524425013470779,3.5065533614023536,-4.888908596105564e-9
