ind,alpha_g,qg,pg
1,-4.772229191661707e-10,-7.408970385503111e-10,-9.738944848584046e-9
10,-4.1615841294681557e-10,-5.964347926977365e-10,-9.729996765667757e-9
100,-1.1385453424095768e-9,-7.509555817695832e-10,-9.839591098502607e-9
101,-1.1699198572624375e-9,-8.244719929188184e-10,-9.839969986003692e-9
102,-1.1464862300403557e-9,-7.538589382511317e-10,-9.839039385756453e-9
103,-9.375148292394918e-10,-5.084672447997887e-10,-9.743322100134649e-9
104,-9.39302908062665e-10,-5.096270878165971e-10,-9.741437643094646e-9
105,-1.9251406617240597e-9,-8.270824064352928e-10,-9.726330371925263e-9
106,-1.9236464188787623e-9,-8.388353429650859e-10,-9.726103035356747e-9
107,-1.9096959726556553e-9,-8.392234463451011e-10,-9.724159933210658e-9
108,-1.1031279171813985e-9,-8.554570774765841e-10,-9.743348556755577e-9
109,-1.6763868909651107e-9,-7.8621270487338e-10,-9.734253856587218e-9
11,-4.0883236182552313e-10,-5.699523850576372e-10,-9.728342213845322e-9
110,-1.6731078643135604e-9,-7.89334190012426e-10,-9.733021495340168e-9
111,-7.78675593526522e-10,-6.071916459289113e-10,-9.753576897234782e-9
112,-7.888558172245424e-10,-5.719427873508556e-10,-9.755033188628395e-9
113,-7.225062927840784e-10,-4.602905500180568e-10,-9.83982841276585e-9
114,0.999999997470483,-0.008167499746283885,0.22073954961604297
115,0.999999997470483,-0.007728247953809987,0.23112419900149497
116,0.9999999976843889,-0.0999999368034338,0.2408261768169793
117,0.9999999976950296,-0.09999994110877451,0.18522760447241607
118,0.9999999976864902,-0.09999993658458556,0.23696732078380914
119,0.9999999977014943,-0.0999999408232832,0.24581360744800776
12,1.000000001106599,-0.2310864060770101,1.0010291124308577
120,0.9999999974704826,-0.017268540422308017,0.010345969450634925
121,-1.5528249189255077e-9,1.967808284481854e-10,-9.727817473170027e-9
122,-2.0550238745275217e-9,7.526958483998791e-10,-9.707558052724143e-9
123,-1.872213675951655e-9,-8.000757739324823e-10,-9.737111336283365e-9
124,-9.380413842759507e-10,-2.120431069134257e-10,-9.643908716896586e-9
125,-1.681326157078296e-9,-7.771739232971981e-10,-9.737970719871502e-9
126,-1.6893288630463169e-9,-9.431197767510037e-10,-9.740110856938023e-9
127,-1.6813735140920318e-9,-7.759482674639213e-10,-9.738468823570525e-9
128,-9.972904274066703e-10,-7.377181675679165e-10,-9.744504578219079e-9
129,-9.94275868212925e-10,-7.359701538340128e-10,-9.745663912013462e-9
13,1.0000000010883452,-0.2442938640564167,0.9953200494144363
130,-9.89904225304467e-10,-3.377587663403329e-10,-9.745031950580496e-9
131,-9.532843618805439e-10,-7.189563684645636e-10,-9.753321424198106e-9
132,-8.260345566207531e-10,-3.0360788351561585e-10,-9.839968700078685e-9
133,-8.172049807647178e-10,-2.597979579309755e-10,-9.838953577314371e-9
134,0.9999999982684347,-0.09999999140572449,0.06984939056138703
135,0.9999999976800019,-0.07409909577995331,0.24201405168085124
136,0.9999999975133099,-0.06842950656478296,0.04286278539851844
137,-2.6273609118788924e-9,-1.2486125137175725e-9,-9.781436537158474e-9
138,-2.691790231674849e-9,-1.2442989482868215e-9,-9.783032843344126e-9
139,-2.6424421372011614e-9,-1.1888280978495822e-9,-9.781841322210316e-9
14,0.999999997470483,-0.00479292447491285,0.5914747062684957
140,-2.6743006327303196e-9,-1.1603603058053732e-9,-9.78264757927735e-9
141,-2.4930339081284963e-9,1.0611193047403522e-9,-9.779778868619644e-9
142,-2.5050852153704623e-9,1.0992262288341746e-9,-9.780130768600187e-9
143,-2.4185270268921788e-9,1.1476216351966162e-9,-9.778120815743732e-9
144,-2.3980856091418266e-9,1.1634554050171768e-9,-9.777663489803801e-9
145,0.9999999974660256,0.0067550105315979676,0.044980117843997046
146,-1.6899676461841085e-9,2.8426336551322418e-9,-9.826938826204355e-9
147,-1.6868071658115696e-9,2.8545281681814806e-9,-9.826171023645419e-9
148,-1.6924599263025792e-9,2.83358765226791e-9,-9.827895439156009e-9
149,-2.175623187331876e-9,4.152889129139837e-9,-9.828653004487243e-9
15,1.0000000023174698,-1.0999996234632852,1.1254944659498
150,-2.178048082118558e-9,4.142702585869147e-9,-9.828030237311411e-9
151,-2.1719862364531904e-9,4.165393186082812e-9,-9.828078005982197e-9
152,-1.6101789342986743e-9,2.5946021785152488e-9,-9.83508562835489e-9
153,-1.6048762062690124e-9,2.5895206120218647e-9,-9.835643485381866e-9
154,-1.614464052447411e-9,2.5912909220379485e-9,-9.83468909201143e-9
155,-2.118341697329276e-9,3.368553957773129e-9,-9.829925967939408e-9
156,-2.8784894454251654e-9,3.4754096788999055e-9,-9.81619336260258e-9
157,-2.948802241264574e-9,-3.255897805126259e-10,-9.797762045951282e-9
158,0.9999999974704905,-0.04209385747898758,0.06799754937300866
159,0.9999999974692292,-0.027983578289748536,0.050388961173010526
16,1.0000000023217908,-1.1999995771450078,1.1282799308380083
160,0.9999999974704836,-0.03976689890017397,0.13184315755660814
161,0.999999997470483,-0.030995448755428427,0.1550624767659466
162,0.9999999974704828,-0.011746994301998992,0.0637722758502522
163,0.9999999974704825,-0.11507291411673781,0.12895704182086834
164,0.9999999974704825,-0.11416878459707361,0.11652734601972949
165,0.9999999974704826,-0.07253697535545592,0.09821776047103332
166,0.9999999974704871,0.0014107162312685178,0.5752029404761657
167,0.9999999974704832,0.04166835732195401,0.9504780543724852
168,0.9999999975331146,0.047277241588721486,0.37868211521528367
169,-2.68584128674064e-9,-1.280614311547256e-10,-9.807927965510689e-9
17,1.0000000022341635,-0.9999996208690863,1.0997765350265085
170,-1.9466232295643626e-9,-6.785015037922094e-10,-9.832059915612497e-9
171,-2.7290162284156188e-9,-5.747133750803854e-10,-9.81928481032476e-9
172,0.9999999974686923,-0.010364687616135718,0.008214611347834997
173,0.9999999974704826,-0.029076729927825028,0.04228294769446228
174,0.9999999974704826,-0.027448810450121753,0.041650617509941874
175,0.9999999974698921,-0.01574385037645351,0.016827661133113892
176,0.999999997469957,-0.01587415363402815,0.016668617661048102
177,0.999999997469864,-0.015898582540506214,0.017121003756278744
178,0.9999999974704838,-0.02757519138982139,0.33211991116105544
179,0.999999997470483,0.013606312281341662,0.3250310838231442
18,0.9999999974704831,-0.1597879545917742,2.355011373601667
180,0.9999999974704826,-0.0707122482878109,0.2440652024860433
181,0.9999999974704826,-0.06950867442247395,0.22483379396770567
