ind,shunt_bigM
100,0.9999999976765305
101,2.5586959744251304e-9
102,2.855260016335121e-9
103,3.2206301361888378e-9
104,2.6493259062272174e-9
105,2.6382930522113132e-9
106,1.901601677143666e-9
107,2.523187219307444e-9
108,4.988454463472719e-9
109,3.0010887197579013e-9
110,2.8415041985661786e-9
111,2.556815075350929e-9
112,3.3213095854488233e-9
113,2.278229750508185e-9
114,2.3283387341602922e-9
115,2.4311261122441996e-9
116,2.517189436709664e-9
117,2.5650084694389284e-9
118,2.5445004725414643e-9
119,2.3524757948788322e-9
120,2.6729858689054613e-9
121,0.9999999982029993
122,2.861698887571979e-9
123,2.797259716066731e-9
124,2.8077673414326225e-9
125,4.437840833137225e-9
126,0.9999999969220228
127,0.9999999968171412
128,3.322529581278195e-9
129,2.7303982857753525e-9
130,2.6572856383320875e-9
131,2.7215500187686243e-9
132,2.740614774492412e-9
133,2.6316566492702333e-9
134,2.6943952831545953e-9
135,2.7266256679540114e-9
136,2.775315865559123e-9
137,2.7380671621041903e-9
138,3.334157164102946e-9
139,2.8890091843236472e-9
140,3.429201982752347e-9
141,2.7659596782388597e-9
142,2.732728661018034e-9
143,2.8170145400300936e-9
144,3.094322527232201e-9
145,2.8939526880715398e-9
146,2.869086987396967e-9
147,2.662921981837474e-9
148,2.4507931056400174e-9
149,0.9999999976506689
150,6.781013202290253e-9
151,3.596749409084117e-9
152,2.950641816902775e-9
153,2.9356087613243503e-9
154,2.7292993805833693e-9
155,0.9999999972337044
156,2.7333566131408405e-9
157,2.6086801919402906e-9
158,2.529516410381974e-9
159,2.5419760542705254e-9
160,1.8764458915300295e-9
161,0.9999999995864315
162,1.798679294335337e-9
163,0.9999999974704824
164,0.9999999988019318
165,0.9999999990590407
166,0.999999998077075
167,2.529517764984073e-9
168,0.999999998106841
169,0.999999997548994
170,0.9999999975375662
171,3.60944933817111e-9
172,4.4175327325874215e-9
173,2.779712617000089e-9
174,1.0000000000497227
175,2.5722499550919068e-9
176,2.672636229042143e-9
177,2.5282311804920194e-9
178,2.5282278386709577e-9
179,2.5288621282374895e-9
180,2.528852395071444e-9
181,2.5261023775878206e-9
182,0.9999999974704825
183,2.5108289040134826e-9
184,1.0000000000444276
185,2.525363084752958e-9
186,0.9999999974704824
187,2.613208711606956e-9
188,2.5252692606262546e-9
189,2.5283542147289707e-9
190,2.4959295258978904e-9
191,1.8055457358989118e-9
192,2.5265454794838623e-9
193,2.5305927197249473e-9
194,2.5355908672765764e-9
195,2.488483208384355e-9
196,2.529537342195264e-9
197,2.4297978857029398e-9
198,0.9999999974229444
199,0.9999999982528198
200,2.5227680010738216e-9
201,2.653735341578787e-9
202,2.5166469527885597e-9
203,2.5270390250988746e-9
204,2.5269825752835297e-9
205,2.528772293305988e-9
206,2.527150245558598e-9
207,2.522402902498742e-9
208,3.4589323838876343e-9
209,2.5259399941386694e-9
210,2.5250747660028637e-9
211,2.528379730935356e-9
212,2.5256062027797834e-9
213,2.527511359282996e-9
214,2.527475751934169e-9
215,2.5285647498539435e-9
216,2.526143741599803e-9
217,2.5228548100348334e-9
218,2.4966071917606562e-9
219,2.5261308316970686e-9
220,2.4979794996884374e-9
221,2.5182503533638497e-9
222,2.944677037100019e-9
223,2.5342322970770284e-9
224,2.5332577207677714e-9
225,2.508296111394882e-9
226,2.5171405892830766e-9
227,2.514191809776294e-9
228,2.5136687683942015e-9
229,2.5295179780313935e-9
230,2.5295176980597824e-9
231,3.4930889940579e-9
232,3.4430546549724063e-9
233,2.875876579732542e-9
234,2.5964480286931967e-9
235,2.5942452769710634e-9
236,2.3334226386875172e-9
238,2.6586909877322034e-9
239,2.665169445314067e-9
240,2.9073764632296865e-9
241,2.9170903535830693e-9
242,2.6277874986672488e-9
243,1.98605893221603e-9
244,3.234015679791635e-9
93,-2.932828678200084e-10
94,-3.3593790390425737e-10
95,2.295901360230095e-9
96,-2.798050138464058e-9
97,-1.1686710882375407e-9
99,0.9999999975952121
