ind,pt,pf
1,1.7604651406115557,-1.759184463688592
10,1.1342185502011803,-1.13150743289527
11,2.0992772268845776,-2.0964910051934598
12,2.0992772268845776,-2.0964910051934598
2,-0.0006620001005261646,0.0006620012342585208
3,-0.0006620001005261646,0.0006620012342585208
4,-0.0006620001005261646,0.0006620012342585208
5,0.0012828347445687706,-0.0012828309254912388
6,2.869026661106508,-2.856570474476246
7,3.9025565905309723,-3.893871744271227
8,3.9025565905309723,-3.893871744271227
9,1.1342185502011803,-1.13150743289527
