ind,qf,qt,tm,ta,pt,pf
1,0.003892005349990163,-0.016423850666238818,1.0,0.0,-0.09258006708841744,0.09276379352645191
10,3.8298084131727927,-2.7340784418595043,1.0,0.0,20.120981396217292,-19.99451720805903
100,-0.009810740259468188,-0.0033282050236899284,1.0,0.0,0.33797235496074157,-0.3323105630513316
1000,-1.103104777921718,1.0730041580119438,1.0,0.0,1.239592648824973,-1.2364118312171009
1001,0.39672829824971584,-0.41606284913109887,1.0,0.0,-1.0249431819402242,1.0263253204275908
1002,-0.5358270085917447,0.5258344214943274,1.0,0.0,1.6658987377571703,-1.6598676844193045
1003,0.12834223336216366,-0.16697585469194515,1.0,0.0,0.5500691841847493,-0.5499293515861355
1004,1.5116297888412,-1.6535625387040656,1.0,0.0,2.1426030394791034,-2.1393570789296987
1006,-0.30436080900870216,0.10841861062353444,1.0,0.0,-0.6562078662306224,0.6579341478543048
1007,-0.35593261518344543,0.29173954803590946,1.0,0.0,-0.8327997382144129,0.8333705294737426
1009,-0.8390516462431897,0.118836446052422,1.0,0.0,-0.3055134464699759,0.3061527739772316
101,-0.03697679720788858,0.022701682723853023,1.0,0.0,-0.2009261431678404,0.20237386893444595
1010,0.27198326091950825,-0.6206208950515318,1.0,0.0,1.9353758687250284,-1.9282178045428093
1013,-0.3639106863873302,0.15613571553696828,1.0,0.0,-1.0968330254997947,1.098070300293008
1014,0.1053263977081159,-0.2288519770172364,1.0,0.0,0.7972679749810903,-0.7963954446341753
1015,-0.1947898192932453,-0.03650865763548048,1.0,0.0,-0.408498860338046,0.4087302257334728
1017,1.5369300215867794,-2.118337629150205,1.0,0.0,3.726925306377254,-3.7090136602250023
1019,2.3789732510213795,-2.674438594506077,1.0,0.0,3.369838340057503,-3.3612311892085005
102,0.2606515292519965,-0.5716309234661764,1.0,0.0,2.9472379838380287,-2.912686746983661
1020,0.10399225000315408,-0.1116884777139268,0.9970937190363944,0.0,-0.14876166294413137,0.14877331166263294
1021,-0.06537572891778874,0.030862357797563342,1.0,0.0,0.18401345902874397,-0.18396840952411023
1023,0.06537572891778874,-0.09578249875606089,1.0,0.0,-0.1839238746476601,0.18396840952411023
1025,0.0012550005758873149,-0.0016682738416567693,1.0,0.0,-0.004249024698662546,0.0042501582666964926
1026,0.0014208744719379283,-0.0024621920272763173,1.0,0.0,-0.0021420995552585064,0.0021422304611093033
1027,-0.0014208744719379283,-0.00017220772898870793,1.0,0.0,0.0021423706106439098,-0.0021422304611093033
1028,-0.00518819795995834,0.004805005485646069,1.0,0.0,0.01010057524617844,-0.010100066125136047
1029,0.0046573303233904805,-0.005048696949338136,1.0,0.0,-0.012533771833217598,0.012534444983752887
103,-2.9752369573057282,0.40284322135705114,1.0,0.0,-3.0618482904376467,3.066637895408388
1030,-0.006453722926135288,0.006252781741018987,1.0,0.0,0.006483521162648387,-0.006483439693990024
1031,-0.008028878389055066,0.007830545276088664,1.0,0.0,0.006599424495364416,-0.006599315894266335
1032,-0.09508187776680052,0.012726529103332456,1.0,0.0,0.12911454023676838,-0.12905689079994476
1033,0.03474395564786524,-0.1974687121232603,1.0,0.0,-0.18059328332505747,0.18086500249349036
1034,-0.08455581436894839,-0.1360842676404111,1.0,0.0,-0.040144633019230845,0.04016232433274838
1036,-0.3466394007974806,0.10297415643745068,1.0,0.0,0.060679641431710105,-0.06055193103717717
1038,-0.5888122103120514,-0.001042201283496854,1.0,0.0,0.07100640989736158,-0.06944699975602893
1039,-0.3358003719367107,0.1816331462395444,1.0,0.0,-0.175090482599731,0.17579147528808176
104,0.9637632800852534,-1.0286193738668787,1.0,0.0,1.699524042655176,-1.6972785054433954
1040,-0.35145958483162326,0.05851151014861243,1.0,0.0,-0.18646918246539654,0.18741982533265347
1041,0.08332286137082125,-0.14327734893743022,1.0,0.0,0.07854165907825315,-0.07850070172034337
1042,-0.02201593556378197,-0.14384250962010534,1.0,0.0,0.19018021270182933,-0.18990825868919498
1043,-0.06130692580703928,-0.1444898255651365,1.0,0.0,-0.26778111767752477,0.2684089604095383
1044,-0.07242011457651244,-0.14771541989283832,1.0,0.0,-0.23947709215022678,0.2399599192057925
1045,-0.32834005700569907,0.037611242737785586,1.0,0.0,-0.310404362043571,0.31192644145618226
1046,-0.4650600773981252,0.2629392973128376,1.0,0.0,-0.6021800578484344,0.606313544989967
1047,-0.19512656950580884,0.08620099580866805,1.0,0.0,0.1893679718097023,-0.18912857892879087
1048,-0.39997064417355427,0.29497801414644953,1.0,0.0,-0.6128614106718662,0.613611833569387
1049,-0.4535494333602004,0.40815477620384255,1.0,0.0,-0.2686841951212524,0.26912382875364477
105,-0.01773294272248296,0.00936861551931116,1.0,0.0,3.2753050308246983,-3.27256573668152
1050,-0.23178945979071025,0.16584211602832527,1.0,0.0,0.26825439041585025,-0.26798333265603486
1051,0.0011330900899148414,-0.021875809285112964,1.0,0.0,-0.002641258143022039,0.002645135296512904
1052,-0.23155019306505234,0.1499021679935709,1.0,0.0,0.006207105464455153,-0.006167373765711536
1053,-0.3263671251091993,0.24801705244300035,1.0,0.0,-1.213869825505984,1.2212088422860121
1054,0.0031620114603491925,-0.004565341250909311,1.0,0.0,-0.003283789696698573,0.0032851284029131217
1055,-0.0030853186748645437,0.0016984305523438411,1.0,0.0,0.0012543182993174804,-0.0012539480098999883
1056,-0.08478335830063756,0.03295375221287821,1.0,0.0,0.04808816425664133,-0.048085863021286215
1057,-0.03022084887586965,-0.20833283140178924,1.0,0.0,-1.0119102968063436,1.0254788682707112
1058,-0.024398549519407866,-0.21941803615114855,1.0,0.0,-0.9920057382931351,1.0043905789973493
1059,0.03022084887586965,-0.25405661433644905,1.0,0.0,1.0364435584506058,-1.0254788682707112
106,-0.4421497932174286,-0.09224542064575249,1.0,0.0,-0.36444465490291156,0.36542842485996574
1061,-0.128262881722487,0.04389996990537248,1.0,0.0,0.040208646290175176,-0.0401988912387438
1062,-0.25678166851026635,-0.014016522016387098,1.0,0.0,-0.7820099693045004,0.7863761696650118
1063,0.0011950887547113767,-0.014194454948607866,1.0,0.0,-0.002700882792477119,0.002702020511122195
1064,-0.043635244168898614,0.002902224071252137,1.0,0.0,0.025323515615267262,-0.025256938338037972
1065,0.0436437969109131,-0.06878616803941884,1.0,0.0,-0.03371378524857033,0.033909791387624934
1066,-0.015799445621265076,-5.138746373782745e-7,1.0,0.0,4.2021303837569575e-22,2.4897399352181904e-6
1067,0.006323088199242107,-0.0725046231295086,1.0,0.0,0.02329282522360775,-0.02311051630283606
1068,-0.031172568713397113,0.014276911296982189,1.0,0.0,-0.018073853586408804,0.01810750860044825
1069,-0.06210022426069754,-0.001750580658519748,1.0,0.0,0.0043780934101179045,-0.004215688749713751
107,0.20679040355323408,-0.3807243640868925,1.0,0.0,0.20903614384325112,-0.2088108309667302
1071,-0.02053108198889026,0.016182969351255797,1.0,0.0,0.02427956046206083,-0.024275870642791252
1073,-0.007050892598568017,0.0010997146682073544,1.0,0.0,0.00042494428672506146,-0.00042468839565423393
1074,-0.019752317255778043,0.0016695836856773002,1.0,0.0,-0.004328121977142509,0.004334103841551328
1075,0.02680320985434606,-0.07025885201968707,1.0,0.0,0.004095478554834184,-0.003909415445897095
1076,-0.013754546185411207,-0.0005506138704303055,1.0,0.0,0.0010921541328676484,-0.0010911734028145631
1077,-0.005753835516503248,0.002348771800186182,1.0,0.0,0.009456849023459292,-0.009455286164570417
1078,-0.027092956112273324,0.006975429346346083,1.0,0.0,-0.03551420984375145,0.03555217568486694
1079,0.012581281782921085,-0.03834562514238915,1.0,0.0,0.02773759213446272,-0.027671566502989207
108,-0.7596598776683187,0.49835791336917057,1.0,0.0,2.2161773554152293,-2.192013141543444
1080,-0.01014378936966312,0.0007458186591351167,1.0,0.0,0.03551406040010839,-0.03549828847357486
1081,0.023390377913900088,-0.04027461775397703,1.0,0.0,0.01739217835940744,-0.017362846864478854
1082,0.04123305076181198,-0.05556407327921297,1.0,0.0,0.015104050222997238,-0.015052058126721831
1083,0.11952453188161655,-0.12252031078170314,1.0,0.0,0.017611817788145027,-0.01754450414884314
1084,-0.11974948628125869,0.11272570920572768,1.0,0.0,-0.017433453950465753,0.017595151514327723
1085,-0.04504682994891935,0.03400756044845771,1.0,0.0,0.013682018578933695,-0.01365550911737885
1086,0.045487520029056684,-0.04897761561940575,1.0,0.0,-0.014248517824087098,0.014260550998356526
1087,-0.03420845829798666,0.02239848955030725,1.0,0.0,0.013125504462109487,-0.013107850810397233
1088,-0.023285316273293083,0.020993564300294167,1.0,0.0,0.012702359183228863,-0.01270007583727342
1089,0.016376411608197895,-0.04499422052575024,1.0,0.0,-0.015756926034555693,0.015827873567687622
109,-0.10164398968329742,0.055055097366492986,1.0,0.0,-0.02940862661314917,0.030006670168142336
1090,-0.035539504124734764,-0.04136711587787874,1.0,0.0,0.023233774593013283,-0.02321829269013755
1092,-0.0077212480054812,-1.0045440896813118e-6,1.0,0.0,-1.8901855301214605e-9,1.4944364305981702e-7
1093,-0.0040229619313408285,0.0011124453911280094,1.0,0.0,0.009307285429386594,-0.009306244921003013
1094,-0.0030998277239839248,-0.015860546790633367,1.0,0.0,0.016961041529951475,-0.016956681535725496
1095,-0.07966334630238989,0.0530179958534853,1.0,0.0,-0.12275679144396168,0.12347150182669729
1096,-0.033719833778972454,-0.00539815597562454,1.0,0.0,0.04186308851780062,-0.04168592188036399
1097,0.029857634812758462,-0.03413323859014597,1.0,0.0,0.11007369970943374,-0.10998452959760278
1098,-0.027391093392480186,0.017078089758873614,1.0,0.0,-0.11644781276011557,0.11668023271815892
1099,-0.09049828881155801,0.08240029039491868,1.0,0.0,-0.12496734866724324,0.12514842377334595
110,-0.10759462172553678,0.057539808390167986,1.0,0.0,-0.07862489866615166,0.07983405168369707
1100,-0.041015022882473814,0.020516047288522077,1.0,0.0,0.021330823506062267,-0.02128286027405297
1101,0.006832295120214963,-0.02797696460913231,1.0,0.0,0.05579079916561079,-0.05564142398249435
1102,0.027874312619123463,-0.05676720632295303,1.0,0.0,0.055354832538166074,-0.054998659967321124
1103,-0.035513699094075944,0.025850982384264056,1.0,0.0,-0.06864803662979342,0.06869893368460334
1104,-0.04607336720658313,0.037824561867843984,1.0,0.0,-0.10939806623026736,0.10951021284082688
1105,-0.08234231083745898,0.07635019417149853,1.0,0.0,-0.12578698300246738,0.1260474731220897
1106,-0.0756502734079833,0.0685571784258777,1.0,0.0,-0.1303327157610596,0.13070508823411778
1107,-0.06762641629750779,0.0630637297889589,1.0,0.0,-0.13020385983979532,0.1304304450233015
