elm_loc_name,elm_Ht,elm_Dshaft,elm_Kshaft,elm_Hg,con_gen
WTGT_A_gen_4024_1,5.0,1.5,200.0,1.0,gen_4024_1.ElmGenstat
WTGT_A_gen_4372_12,5.0,1.5,200.0,1.0,gen_4372_12.ElmGenstat
WTGT_A_gen_2345_12,5.0,1.5,200.0,1.0,gen_2345_12.ElmGenstat
WTGT_A_gen_2039_1,5.0,1.5,200.0,1.0,gen_2039_1.ElmGenstat
WTGT_A_gen_2017_1,5.0,1.5,200.0,1.0,gen_2017_1.ElmGenstat
WTGT_A_gen_4008_1,5.0,1.5,200.0,1.0,gen_4008_1.ElmGenstat
WTGT_A_gen_2033_2,5.0,1.5,200.0,1.0,gen_2033_2.ElmGenstat
WTGT_A_gen_4003_1,5.0,1.5,200.0,1.0,gen_4003_1.ElmGenstat
WTGT_A_gen_4018_1,5.0,1.5,200.0,1.0,gen_4018_1.ElmGenstat
WTGT_A_wtg_Q6_1,5.0,1.5,200.0,1.0,wtg_Q6_1.ElmGenstat
WTGT_A_wtg_S2_1,5.0,1.5,200.0,1.0,wtg_S2_1.ElmGenstat
WTGT_A_gen_4026_1,5.0,1.5,200.0,1.0,gen_4026_1.ElmGenstat
WTGT_A_wtg_V2_1,5.0,1.5,200.0,1.0,wtg_V2_1.ElmGenstat
WTGT_A_gen_4019_1,5.0,1.5,200.0,1.0,gen_4019_1.ElmGenstat
WTGT_A_wtg_T2_1,5.0,1.5,200.0,1.0,wtg_T2_1.ElmGenstat
WTGT_A_gen_5004_1,5.0,1.5,200.0,1.0,gen_5004_1.ElmGenstat
WTGT_A_wtg_S1_1,5.0,1.5,200.0,1.0,wtg_S1_1.ElmGenstat
WTGT_A_wtg_Q9_1,5.0,1.5,200.0,1.0,wtg_Q9_1.ElmGenstat
WTGT_A_wtg_V5_1,5.0,1.5,200.0,1.0,wtg_V5_1.ElmGenstat
WTGT_A_gen_4152_11,5.0,1.5,200.0,1.0,gen_4152_11.ElmGenstat
WTGT_A_wtg_S3_1,5.0,1.5,200.0,1.0,wtg_S3_1.ElmGenstat
WTGT_A_gen_2085_2,5.0,1.5,200.0,1.0,gen_2085_2.ElmGenstat
WTGT_A_wtg_N7_1,5.0,1.5,200.0,1.0,wtg_N7_1.ElmGenstat
WTGT_A_gen_4010_21,5.0,1.5,200.0,1.0,gen_4010_21.ElmGenstat
WTGT_A_gen_2008_2,5.0,1.5,200.0,1.0,gen_2008_2.ElmGenstat
WTGT_A_wtg_Q2_1,5.0,1.5,200.0,1.0,wtg_Q2_1.ElmGenstat
WTGT_A_gen_4078_11,5.0,1.5,200.0,1.0,gen_4078_11.ElmGenstat
WTGT_A_gen_2247_2,5.0,1.5,200.0,1.0,gen_2247_2.ElmGenstat
WTGT_A_wtg_Q4_1,5.0,1.5,200.0,1.0,wtg_Q4_1.ElmGenstat
WTGT_A_wtg_Q8_1,5.0,1.5,200.0,1.0,wtg_Q8_1.ElmGenstat
WTGT_A_gen_1036_3,5.0,1.5,200.0,1.0,gen_1036_3.ElmGenstat
WTGT_A_wtg_N2_1,5.0,1.5,200.0,1.0,wtg_N2_1.ElmGenstat
WTGT_A_gen_4051_1,5.0,1.5,200.0,1.0,gen_4051_1.ElmGenstat
