hour,disturbance_gen,disturbance_size,δ_stab,overspeed,underspeed,end_time,out_of_step,out_of_step_time,nadir,nadir_time
6,wtg_V3_1,1547.0,true,false,false,20.0,false,0.0,49.23029899385391,2.0416666667
6,wtg_V4_1,1251.0,true,false,false,20.0,false,0.0,49.45740338122618,1.7316666667
6,wtg_V5_1,1808.0,true,false,false,20.0,false,0.0,49.27722554289357,1.8816666667
7,wtg_N3_1,5428.0,false,true,true,20.0,true,6.7383333333,48.35013286906647,13.0283333333
7,wtg_N5_1,1833.0,true,false,false,20.0,false,0.0,49.08313672892831,1.8516666667
7,wtg_Q4_1,923.0,false,true,false,20.0,true,15.2216666667,49.74473128167028,10.7116666667
7,wtg_Q7_1,510.0,true,false,false,20.0,false,0.0,49.84668813994816,9.7116666667
7,wtg_Q8_1,3480.0,true,true,false,20.0,true,6.7383333333,48.87160386869606,16.2183333333
7,wtg_Q9_1,1555.0,true,false,false,20.0,false,0.0,49.59348950543072,10.74
7,wtg_S3_1,535.0,true,false,false,20.0,false,0.0,49.79406792086105,8.3216666667
7,wtg_V3_1,1443.0,true,false,false,20.0,false,0.0,49.26891449697412,2.0416666667
7,wtg_V4_1,1174.0,true,false,false,20.0,false,0.0,49.48311692757595,1.7216666667
7,wtg_V5_1,1794.0,true,false,false,20.0,false,0.0,49.277734444572395,1.8916666667
8,wtg_N3_1,5435.0,false,true,true,20.0,true,7.2083333333,48.11366572769662,12.8516666667
8,wtg_N5_1,1796.0,true,false,false,20.0,false,0.0,49.183294739553126,1.7316666667
8,wtg_Q4_1,881.0,false,true,false,20.0,true,15.0416666667,49.7576704522676,10.5016666667
8,wtg_Q7_1,635.0,true,false,false,20.0,false,0.0,49.847648794667165,10.4416666667
8,wtg_Q8_1,3333.0,true,false,false,20.0,true,7.5983333333,49.032943361911855,17.1816666667
8,wtg_Q9_1,1552.0,true,false,false,20.0,false,0.0,49.60716893178088,10.6433333333
8,wtg_S3_1,601.0,true,false,false,20.0,false,0.0,49.79109533322773,8.9716666667
8,wtg_V3_1,1350.0,true,false,false,20.0,false,0.0,49.348287648899074,1.8616666667
8,wtg_V4_1,1208.0,true,false,false,20.0,false,0.0,49.50032935217605,1.6016666667
8,wtg_V5_1,1811.0,true,false,false,20.0,false,0.0,49.3180622553028,1.7516666667
9,wtg_N3_1,5409.0,false,true,true,20.0,true,7.2383333333,48.15251410807016,12.98
9,wtg_N5_1,1835.0,true,false,false,20.0,false,0.0,49.172327512934935,1.7216666667
9,wtg_Q4_1,868.0,false,true,false,20.0,true,14.2116666667,49.75468992038179,10.3816666667
