ind,vmfilt,qpr_fr,ppr_fr,qconv,iconv,pgrid,qtf_to,phi,vaconv,pconv,ptf_to,vmconv,vafilt,pdc,qgrid
1,0.9103864018589751,0.7187621793647446,-1.7687716080380358,0.6527904651647338,2.097168157301807,-1.7649892297572354,-0.7187621793647446,1.57079633750286,0.03645670935060813,-1.7709706651780357,1.7687716080380358,0.8999999900879985,0.00363086091123431,1.78382753841617,0.8507056077647597
10,1.0934941984032363,1.3456808672456935,-2.2671141274990094,1.3456808672456935,2.410996875135995,-2.2671141274990094,-1.3456808672456935,1.57079633750286,0.06809712882904102,-2.2671141274990094,2.2671141274990094,1.0934941984032363,0.06809712882904102,2.337448543466246,1.3456808672456935
11,1.100000007807431,1.600634010270154e-9,2.4009300239842593,1.600634010270154e-9,2.182663642675694,2.4009300239842593,-1.600634010270154e-9,1.57079633750286,0.0,2.4009300239842593,-2.4009300239842593,1.100000007807431,0.0,-2.3405725211856336,1.600634010270154e-9
12,1.100000007807431,1.600634010270154e-9,2.4009300239842593,1.600634010270154e-9,2.182663642675694,2.4009300239842593,-1.600634010270154e-9,1.57079633750286,0.0,2.4009300239842593,-2.4009300239842593,1.100000007807431,0.0,-2.3405725211856336,1.600634010270154e-9
13,1.0457569229410513,0.3988315793532149,-1.2031578932835443,0.3988315793532149,1.2120782001614454,-1.2031578932835443,-0.3988315793532149,1.57079633750286,0.08030971354639495,-1.2031578932835443,1.2031578932835443,1.0457569229410513,0.08030971354639495,1.2312880856630422,0.3988315793532149
14,1.0457569229410513,0.3988315793532149,-1.2031578932835443,0.3988315793532149,1.2120782001614454,-1.2031578932835443,-0.3988315793532149,1.57079633750286,0.08030971354639495,-1.2031578932835443,1.2031578932835443,1.0457569229410513,0.08030971354639495,1.2312880856630422,0.3988315793532149
15,1.0999999999232286,5.925234872958277e-25,1.2610448417432767,5.925234872958277e-25,1.1464044016648072,1.2610448417432767,-5.925234872958277e-25,1.57079633750286,0.0,1.2610448417432767,-1.2610448417432767,1.0999999999232286,0.0,-1.2344997996310811,5.925234872958277e-25
16,1.0999999999232286,5.92523484124846e-25,1.2610448417432767,5.92523484124846e-25,1.1464044016648072,1.2610448417432767,-5.92523484124846e-25,1.57079633750286,0.0,1.2610448417432767,-1.2610448417432767,1.0999999999232286,0.0,-1.2344997996310811,5.92523484124846e-25
17,0.9392798114924874,3.6696774452363936,-1.674393414109081,3.6696774452363936,4.294379968263062,-1.674393414109081,-3.6696774452363936,1.57079633750286,-0.06301028471083588,-1.674393414109081,1.674393414109081,0.9392798114924874,-0.06301028471083588,1.9128516526358907,3.6696774452363936
18,0.9392798114924874,3.6696774452363936,-1.674393414109081,3.6696774452363936,4.294379968263062,-1.674393414109081,-3.6696774452363936,1.57079633750286,-0.06301028471083588,-1.674393414109081,1.674393414109081,0.9392798114924874,-0.06301028471083588,1.9128516526358907,3.6696774452363936
