name,x,y
bus_1224,4573.0,6826.0
bus_1225,6724.0,5009.0
bus_1226,5934.0,8447.0
bus_1228,3839.0,6383.0
bus_1229,5080.0,4730.0
bus_1230,4305.0,6865.0
bus_1232,5155.0,6132.0
bus_1234,4091.0,7064.0
bus_1236,4703.0,6807.0
bus_1237,6168.0,5336.0
bus_1238,5989.0,4837.0
bus_1239,4438.0,7948.0
bus_1240,4432.0,6235.0
bus_1241,4508.0,7655.0
bus_1243,4716.0,6298.0
bus_1244,4540.0,6177.0
bus_1246,4517.0,6195.0
bus_1247,5186.0,4486.0
bus_1249,5156.0,4602.0
bus_1252,4933.0,6814.0
bus_1254,4731.0,6082.0
bus_1255,6035.0,5355.0
bus_1256,5972.0,8485.0
bus_1257,4789.0,8017.0
bus_1258,4193.0,6216.0
bus_1259,3894.0,6159.0
bus_1260,4417.0,7382.0
bus_1261,4381.0,7499.0
bus_1262,5049.0,8045.0
bus_1263,4147.0,6468.0
bus_1264,4528.0,7135.0
bus_1265,4843.0,7653.0
bus_1267,5092.0,4990.0
bus_1269,5354.0,6338.0
bus_1273,6178.0,8998.0
bus_1274,4983.0,5189.0
bus_1281,4940.0,6002.0
bus_1282,5047.0,6031.0
bus_1283,4930.0,8031.0
bus_1284,4353.0,7428.0
bus_1285,6354.0,9112.0
bus_1287,4699.0,7632.0
bus_1288,6219.0,5311.0
bus_1289,5028.0,6171.0
bus_1292,4921.0,4505.0
bus_1293,6337.0,5109.0
bus_1294,6180.0,5355.0
bus_1296,4687.0,5563.0
bus_1297,4895.0,4462.0
bus_1299,6688.0,9391.0
bus_1301,4739.0,5710.0
bus_1305,4911.0,6219.0
bus_1306,6171.0,5254.0
bus_1307,5958.0,5357.0
bus_1308,4921.0,4558.0
bus_1309,4874.0,5973.0
bus_1310,4489.0,5829.0
bus_1311,5026.0,4933.0
bus_1312,6102.0,8919.0
bus_1313,4231.0,7489.0
bus_1314,4769.0,5700.0
bus_1317,4874.0,4580.0
bus_1318,4729.0,4373.0
bus_1320,5063.0,6263.0
bus_1321,3765.0,7072.0
bus_1322,5836.0,8407.0
bus_1324,4816.0,5252.0
bus_1326,4637.0,6309.0
bus_1330,5380.0,6226.0
bus_1331,6058.0,8780.0
bus_1332,4697.0,6689.0
bus_1333,4793.0,6731.0
bus_1334,6034.0,8760.0
bus_1335,6089.0,9021.0
bus_1336,4959.0,8064.0
bus_1338,4845.0,6157.0
bus_1341,4352.0,7583.0
bus_1343,5538.0,6312.0
bus_1344,5548.0,6240.0
bus_1345,4766.0,6752.0
bus_1347,6562.0,9282.0
bus_1349,5550.0,6188.0
bus_1350,5742.0,6147.0
bus_1351,5772.0,8538.0
bus_1354,3679.0,7050.0
bus_1356,5322.0,8154.0
bus_1357,2984.0,8659.0
bus_1358,6935.0,9537.0
bus_1360,7113.0,9593.0
bus_1361,6244.0,5195.0
bus_1364,5043.0,8408.0
bus_1369,3585.0,7119.0
bus_1371,4741.0,6136.0
bus_1372,5436.0,6276.0
bus_1373,5438.0,6239.0
bus_1374,4525.0,6405.0
bus_1375,4170.0,6177.0
bus_1377,3592.0,6366.0
bus_1378,3601.0,6340.0
bus_1380,4866.0,8053.0
bus_1382,5362.0,6292.0
bus_1383,4465.0,5519.0
bus_1385,6225.0,8846.0
bus_1387,5176.0,6158.0
bus_1388,5172.0,6144.0
bus_1392,6191.0,8814.0
bus_1393,4638.0,6195.0
bus_1395,5009.0,4496.0
bus_1396,5699.0,8117.0
bus_1397,4985.0,8285.0
bus_1400,4252.0,6346.0
bus_1401,4369.0,6904.0
bus_1402,6044.0,8613.0
bus_1403,4345.0,6810.0
bus_1406,4543.0,7158.0
bus_1409,4020.0,6537.0
bus_1414,4925.0,5169.0
bus_1416,5758.0,8153.0
bus_1418,3662.0,6407.0
bus_1419,6249.0,8915.0
bus_1423,5890.0,8487.0
bus_1428,4214.0,6510.0
bus_1430,4301.0,7581.0
bus_1432,4461.0,6563.0
bus_1433,4321.0,6115.0
bus_1434,4526.0,6260.0
bus_1435,3614.0,6387.0
bus_1436,3384.0,6366.0
bus_1437,3479.0,6377.0
bus_1438,4418.0,7543.0
bus_1444,5872.0,8619.0
bus_1445,4866.0,7633.0
bus_1447,6092.0,8880.0
bus_1449,5919.0,5389.0
bus_1451,4603.0,7162.0
bus_1453,5010.0,8133.0
bus_1455,4496.0,7462.0
bus_1456,5721.0,8104.0
bus_1458,4140.0,7428.0
bus_1459,5193.0,5878.0
bus_1460,5171.0,6199.0
bus_1461,5173.0,6186.0
bus_1463,4761.0,7519.0
bus_1464,5376.0,8201.0
bus_1467,4488.0,6816.0
